impressionId,impressionTimestamp,userId,userType,clickedItem,clickedFeedPosition,impressions,historySize,history
7c5c78bd-3950-466b-afdc-138d5aa1fac8,1656714139838,17028942367096274688,Non-Logged,9223031724623613709,1,"9223031724623613709-1,9223031724623615754-0,9223031724623615811-0,9223031724623613210-0,9223031724623613841-0,9223031724623592976-0,9223031724623607128-0,9223031724623614667-0,9223031724623610739-0,9223031724623614526-0",50,"9223031724623608124,9223031724623612445,9223031724623613001,9223031724623613213,9223031724623610587,9223031724623609554,9223031724623612406,9223031724623612566,9223031724623566560,9223031724623613098,9223031724623614727,9223031724623608032,9223031724623614854,9223031724623611049,9223031724623614045,9223031724623613808,9223031724623613838,9223031724623614571,9223031724623613792,9223031724623615185,9223031724623615204,9223031724623615311,9223031724623613523,9223031724623613926,9223031724623616437,9223031724623616953,9223031724623614114,9223031724623614711,9223031724623617025,9223031724623611756,9223031724623608901,9223031724623613202,9223031724623616337,9223031724623615485,9223031724623615737,9223031724623617020,9223031724623615203,9223031724623615320,9223031724623616075,9223031724623616974,9223031724623614391,9223031724623614409,9223031724623613195,9223031724623616330,9223031724623615722,9223031724623616109,9223031724623616942,9223031724623617147,9223031724620214440,9223031724623617482"
f0f134d9-d506-40f3-a920-f8f1d2eacb93,1656762996884,3c4d65da-af52-4a13-9942-95a4bba36a61,Logged,9223031724623617243,2,"9223031724623618566-0,9223031724623617243-1,9223031724623611113-0,9223031724623618939-0,9223031724623613210-0,9223031724623617050-0,9223031724623613841-0,9223031724623617515-0,9223031724623618530-0,9223031724623614667-0",50,"9223031724623613775,9223031724623585876,9223031724623588801,9223031724623613882,9223031724621716830,9223031724623019692,9223031724623569710,9223031724623614754,9223031724623614452,9223031724623614408,9223031724623593045,9223031724623614619,9223031724623613709,9223031724623614943,9223031724623614689,9223031724623614711,9223031724623584292,9223031724623614900,9223031724623615547,9223031724623615694,9223031724623615128,9223031724623615811,9223031724623615895,9223031724623613838,9223031724623616202,9223031724623616530,9223031724623616245,9223031724623616200,9223031724623615247,9223031724623616396,9223031724623616818,9223031724623582259,9223031724623616487,9223031724623616870,9223031724623004538,9223031724623614178,9223031724623613538,9223031724623609269,9223031724623616780,9223031724623614885,9223031724623617434,9223031724623617147,9223031724623616330,9223031724623589655,9223031724623617178,9223031724623530423,9223031724623618680,9223031724623618255,9223031724623617383,9223031724623619036"
f2858b7c-996f-443d-9351-201d6eac95fb,1656781945116,63688ff1-6bf3-4ebc-9201-01546fd72a02,Logged,9223031724623619632,3,"9223031724623616870-0,9223031724623616330-0,9223031724623619632-1,9223031724623619621-0,9223031724623618902-0,9223031724623619170-0,9223031724623619160-0,9223031724623618949-0,9223031724623618928-0,9223031724623619019-0",50,"9223031724623614308,9223031724623614619,9223031724623614409,9223031724623613926,9223031724623614541,9223031724623569710,9223031724623618575,9223031724623618680,9223031724623618439,9223031724623618824,9223031724623525839,9223031724623618860,9223031724622508143,9223031724623619062,9223031724623618965,9223031724623618939,9223031724623474838,9223031724623377472,9223031724623618741,9223031724623618819,9223031724623618565,9223031724623617248,9223031724623607954,9223031724623618759,9223031724623619026,9223031724623617974,9223031724623619088,9223031724623619036,9223031724623619095,9223031724623618875,9223031724623619157,9223031724623619187,9223031724623618985,9223031724623619194,9223031724623618869,9223031724623618757,9223031724623619114,9223031724623619006,9223031724623619219,9223031724623618766,9223031724623617178,9223031724623616212,9223031724623618729,9223031724623619578,9223031724623551323,9223031724623593107,9223031724623619101,9223031724623619297,9223031724623619618,9223031724623616721"
9b09dc14-515e-439a-8d17-e5d2430435a1,1656782107282,21eb473b-e29c-4e14-b821-ec8a0afd46c8,Logged,9223031724623618824,7,"9223031724623619062-0,9223031724623618878-0,9223031724623619114-0,9223031724623618680-0,9223031724623618741-0,9223031724623618985-0,9223031724623618824-1,9223031724623618676-0,9223031724623617952-0,9223031724623619036-0",50,"9223031724623610043,9223031724623611111,9223031724623611428,9223031724623613171,9223031724623612584,9223031724623613195,9223031724623608309,9223031724623613709,9223031724623613882,9223031724623613538,9223031724623613664,9223031724622784612,9223031724623611684,9223031724623613795,9223031724623613288,9223031724623613671,9223031724623566414,9223031724623614452,9223031724623611875,9223031724623609269,9223031724623613654,9223031724622692849,9223031724623614705,9223031724623616330,9223031724623611049,9223031724623414004,9223031724623614711,9223031724623616245,9223031724623616870,9223031724623617160,9223031724623617434,9223031724623614885,9223031724623616691,9223031724623617450,9223031724623614619,9223031724623615721,9223031724623614900,9223031724623616780,9223031724623617782,9223031724623616377,9223031724623617759,9223031724623544852,9223031724623618575,9223031724623618860,9223031724623287023,9223031724623619170,9223031724623618875,9223031724623618729,9223031724623618565,9223031724623619088"
1a32663a-9312-415b-bead-2be79f223e4f,1656789478595,20789624822236127209,Non-Logged,9223031724623620153,5,"9223031724623620408-0,9223031724623620385-0,9223031724623620382-0,9223031724623620470-0,9223031724623620153-1,9223031724623620100-0,9223031724623619621-0,9223031724623618912-0,9223031724623618902-0,9223031724623619160-0",40,"9223031724623612584,9223031724623609690,9223031724623613288,9223031724623607128,9223031724623609198,9223031724623613195,9223031724623610537,9223031724623612237,9223031724623613709,9223031724623613199,9223031724623611684,9223031724623612434,9223031724623614754,9223031724623613795,9223031724623614619,9223031724623615547,9223031724623613169,9223031724623616330,9223031724623616870,9223031724623614541,9223031724623617450,9223031724623617759,9223031724623608432,9223031724623617952,9223031724623617724,9223031724623530423,9223031724623614842,9223031724623618824,9223031724623350519,9223031724623613171,9223031724623619062,9223031724623619170,9223031724623619088,9223031724623618985,9223031724623618869,9223031724623619036,9223031724623618875,9223031724623619114,9223031724623619632,9223031724623614391"
67e4f2c6-aeec-4a57-b3d3-4f0da1586fe0,1656802096633,21eb473b-e29c-4e14-b821-ec8a0afd46c8,Logged,9223031724623618939,3,"9223031724623619114-0,9223031724623618985-0,9223031724623618939-1,9223031724623619036-0,9223031724623614391-0,9223031724623619053-0,9223031724623616212-0,9223031724623617154-0,9223031724623617952-0,9223031724623612237-0",50,"9223031724623608309,9223031724623613709,9223031724623613882,9223031724623613538,9223031724623613664,9223031724622784612,9223031724623611684,9223031724623613795,9223031724623613288,9223031724623613671,9223031724623566414,9223031724623614452,9223031724623611875,9223031724623609269,9223031724623613654,9223031724622692849,9223031724623614705,9223031724623616330,9223031724623611049,9223031724623414004,9223031724623614711,9223031724623616245,9223031724623616870,9223031724623617160,9223031724623617434,9223031724623614885,9223031724623616691,9223031724623617450,9223031724623614619,9223031724623615721,9223031724623614900,9223031724623616780,9223031724623617782,9223031724623616377,9223031724623617759,9223031724623544852,9223031724623618575,9223031724623618860,9223031724623287023,9223031724623619170,9223031724623618875,9223031724623618729,9223031724623618565,9223031724623619088,9223031724623619062,9223031724623618824,9223031724623618902,9223031724623619618,9223031724623620445,9223031724623620608"
32738ded-1779-461c-9156-0089f235091b,1656805997725,827930658068492288,Non-Logged,9223031724623618766,3,"9223031724623619170-0,9223031724623618878-0,9223031724623618766-1,9223031724623619114-0,9223031724623618985-0,9223031724623618575-0,9223031724623619157-0,9223031724623612996-0,9223031724623618939-0,9223031724623618902-0",42,"9223031724623609198,9223031724623611111,9223031724623609964,9223031724623613169,9223031724623613171,9223031724623610043,9223031724623613275,9223031724623613709,9223031724623611875,9223031724623610543,9223031724623614295,9223031724623613199,9223031724623615547,9223031724623612237,9223031724623616330,9223031724623606704,9223031724623616870,9223031724623618565,9223031724623617178,9223031724623614711,9223031724623581960,9223031724623613795,9223031724623614391,9223031724623617434,9223031724623618824,9223031724623533841,9223031724623619062,9223031724623615721,9223031724623617450,9223031724623619036,9223031724623618875,9223031724623618566,9223031724623606960,9223031724623619006,9223031724623525839,9223031724623080227,9223031724623617670,9223031724623618869,9223031724622347522,9223031724623620608,9223031724623618530,9223031724623617154"
b70a1e83-0073-4f03-b6d1-aaf134eb16f9,1656809467094,11099296614496700416,Non-Logged,9223031724623619618,6,"9223031724623617977-0,9223031724623618575-0,9223031724623620445-0,9223031724623618869-0,9223031724623614707-0,9223031724623619618-1,9223031724623620100-0,9223031724623616212-0,9223031724623619088-0,9223031724623618902-0",43,"9223031724623608022,9223031724623608432,9223031724623572915,9223031724623611875,9223031724623610043,9223031724623613709,9223031724623615247,9223031724623613882,9223031724623613195,9223031724623614885,9223031724623614619,9223031724623609690,9223031724623613171,9223031724623613795,9223031724623616870,9223031724623612237,9223031724623614900,9223031724623617450,9223031724623617273,9223031724623617515,9223031724623617947,9223031724623617707,9223031724623619062,9223031724623617952,9223031724623617586,9223031724623619170,9223031724623618875,9223031724623619006,9223031724623618565,9223031724623616330,9223031724623615737,9223031724623619114,9223031724623619778,9223031724623618985,9223031724623617759,9223031724623620385,9223031724623617243,9223031724623618766,9223031724623618939,9223031724623620608,9223031724623614391,9223031724623619219,9223031724623620567"
53995b8f-57b7-44cc-8555-93401eaa6ec0,1656810135313,11099296614496700416,Non-Logged,9223031724623617855,6,"9223031724623617977-0,9223031724623617178-0,9223031724623615294-0,9223031724623617154-0,9223031724623614840-0,9223031724623617855-1,9223031724623617922-0,9223031724623615721-0,9223031724623613937-0,9223031724623614707-0",45,"9223031724623608022,9223031724623608432,9223031724623572915,9223031724623611875,9223031724623610043,9223031724623613709,9223031724623615247,9223031724623613882,9223031724623613195,9223031724623614885,9223031724623614619,9223031724623609690,9223031724623613171,9223031724623613795,9223031724623616870,9223031724623612237,9223031724623614900,9223031724623617450,9223031724623617273,9223031724623617515,9223031724623617947,9223031724623617707,9223031724623619062,9223031724623617952,9223031724623617586,9223031724623619170,9223031724623618875,9223031724623619006,9223031724623618565,9223031724623616330,9223031724623615737,9223031724623619114,9223031724623619778,9223031724623618985,9223031724623617759,9223031724623620385,9223031724623617243,9223031724623618766,9223031724623618939,9223031724623620608,9223031724623614391,9223031724623619219,9223031724623620567,9223031724619693592,9223031724623619618"
c5dfb271-4a41-4676-9ba9-5fe26b8a51f0,1656810445785,11099296614496700416,Non-Logged,9223031724623618824,8,"9223031724623617977-0,9223031724623618575-0,9223031724623617178-0,9223031724623615294-0,9223031724623618869-0,9223031724623617154-0,9223031724623615721-0,9223031724623618824-1,9223031724623618680-0,9223031724623618741-0",45,"9223031724623608022,9223031724623608432,9223031724623572915,9223031724623611875,9223031724623610043,9223031724623613709,9223031724623615247,9223031724623613882,9223031724623613195,9223031724623614885,9223031724623614619,9223031724623609690,9223031724623613171,9223031724623613795,9223031724623616870,9223031724623612237,9223031724623614900,9223031724623617450,9223031724623617273,9223031724623617515,9223031724623617947,9223031724623617707,9223031724623619062,9223031724623617952,9223031724623617586,9223031724623619170,9223031724623618875,9223031724623619006,9223031724623618565,9223031724623616330,9223031724623615737,9223031724623619114,9223031724623619778,9223031724623618985,9223031724623617759,9223031724623620385,9223031724623617243,9223031724623618766,9223031724623618939,9223031724623620608,9223031724623614391,9223031724623619219,9223031724623620567,9223031724619693592,9223031724623619618"
